id;course_name;course_code;course_image_path;course_start_date;course_end_date;course_format;published;self_enrollment;self_enrollment_code;storage_quota;status
1;or urgently;ick ugh;vice dismay;2024-05-17T01:49:09;2024-05-16T20:10:26;excluding whereas;false;true;graduate finally;14260;false
2;plus useful;drat;usefully easily;2024-05-16T10:44:33;2024-05-16T20:38:46;ha;true;false;now bellows;15467;true
3;perfectly hence directory;hugger;herring absent;2024-05-17T02:10:29;2024-05-16T17:34:52;harbour;false;true;constraint;13822;false
4;chinchilla;furthermore nocturnal worst;where likely;2024-05-16T17:48:51;2024-05-16T22:29:50;save;true;false;skill pray ick;21444;false
5;capsize charm;unless;meaningfully incompatible;2024-05-16T23:37:55;2024-05-16T13:07:50;rash humongous pfft;true;false;while match;28928;false
6;gigantic while;long-term after;eek;2024-05-17T01:04:13;2024-05-17T03:10:45;provided;false;false;scaly softly;9025;true
7;conceive foolishly;than;violently;2024-05-16T13:50:34;2024-05-16T16:17:36;fisherman but wrestler;false;false;counsel deceivingly from;13268;true
8;lest;meh gee;rhyme;2024-05-17T09:09:12;2024-05-17T03:43:11;now now;true;true;since save but;23069;false
9;append geez into;reverberate;meet self-assured;2024-05-17T07:44:04;2024-05-16T16:52:57;crown guilty;false;true;itchy vacant;10066;true
10;even inexperienced aside;receptor mesmerise beancurd;aboard openly ack;2024-05-16T11:49:48;2024-05-16T14:05:35;brr matter infuse;false;false;composed craw safe;14759;false
