id;enrollment_status;last_activity_at;enrollment_start_at;enrollment_end_at
1;PENDING;2024-05-17T01:46:13;2024-05-16T22:52:04;2024-05-17T09:12:33
2;REJECTED;2024-05-16T22:16:45;2024-05-17T04:16:52;2024-05-16T17:51:18
3;REJECTED;2024-05-16T19:42:31;2024-05-17T04:13:09;2024-05-17T05:12:55
4;PENDING;2024-05-16T14:21:38;2024-05-17T00:41:10;2024-05-16T12:24:53
5;REJECTED;2024-05-16T22:57:40;2024-05-17T07:58:03;2024-05-17T03:46:43
6;REJECTED;2024-05-17T08:52:53;2024-05-16T16:30:17;2024-05-16T10:52:05
7;ACTIVE;2024-05-16T20:29:46;2024-05-16T12:14:15;2024-05-16T12:19:09
8;ACTIVE;2024-05-16T18:57:44;2024-05-16T11:20:14;2024-05-16T17:19:02
9;REJECTED;2024-05-17T06:48:58;2024-05-17T04:29:52;2024-05-16T19:50:34
10;ACTIVE;2024-05-16T15:16:58;2024-05-16T23:26:56;2024-05-17T07:31:32
